Year,Period,labor force,employment,unemployment,unemployment rate
2023,Oct,209811(T),203077(T),6734(T),3.2(T)
2023,Nov,210449(T),203527(T),6922(T),3.3(T)
2023,Dec,207598(T),200592(T),7006(T),3.4(T)
2024,Jan,207404(T),199483(T),7921(T),3.8(T)
2024,Feb,208012(T),199687(T),8325(T),4.0(T)
2024,Mar,207828(T),200259(T),7569(T),3.6(T)
2024,Apr,208158(T),200930(T),7228(T),3.5(T)
2024,May,209426(T),201549(T),7877(T),3.8(T)
2024,Jun,209133(T),200360(T),8773(T),4.2(T)
2024,Jul,206992(T),197829(T),9163(T),4.4(T)
2024,Aug,207555(T),198250(T),9305(T),4.5(T)
2024,Sep,209168(T),200496(T),8672(T),4.1(T)
2024,Oct,208990(T),200144(T),8846(T),4.2(T)
2024,Nov,208947(T),199488(T),9459(T),4.5(T)
2024,Dec,207206(T),198487(T),8719(T),4.2(T)
2025,Jan,207722,197737,9985,4.8
2025,Feb,207625,197068,10557,5.1
2025,Mar,206263,196786,9477,4.6
2025,Apr,207831,198438,9393,4.5
2025,May,207775(P),198698(P),9077(P),4.4(P)
