Year,Period,labor force,employment,unemployment,unemployment rate
2019,Mar,1654252(T),1609853(T),44399(T),2.7(T)
2019,Apr,1652382(T),1613809(T),38573(T),2.3(T)
2019,May,1662423(T),1624685(T),37738(T),2.3(T)
2019,Jun,1682615(T),1639517(T),43098(T),2.6(T)
2019,Jul,1684272(T),1641362(T),42910(T),2.5(T)
2019,Aug,1686516(T),1644518(T),41998(T),2.5(T)
2019,Sep,1689688(T),1651357(T),38331(T),2.3(T)
2019,Oct,1689224(T),1649267(T),39957(T),2.4(T)
2019,Nov,1691731(T),1651095(T),40636(T),2.4(T)
2019,Dec,1682601(T),1641964(T),40637(T),2.4(T)
2020,Jan,1685688(T),1636355(T),49333(T),2.9(T)
2020,Feb,1694696(T),1642286(T),52410(T),3.1(T)
2020,Mar,1679313(T),1617146(T),62167(T),3.7(T)
2020,Apr,1613747(T),1437693(T),176054(T),10.9(T)
2020,May,1655421(T),1453804(T),201617(T),12.2(T)
2020,Jun,1697565(T),1500689(T),196876(T),11.6(T)
2020,Jul,1626056(T),1509302(T),116754(T),7.2(T)
2020,Aug,1650515(T),1544744(T),105771(T),6.4(T)
2020,Sep,1663013(T),1553861(T),109152(T),6.6(T)
2020,Oct,1672093(T),1568883(T),103210(T),6.2(T)
2020,Nov,1676229(T),1571314(T),104915(T),6.3(T)
2020,Dec,1666601(T),1558971(T),107630(T),6.5(T)
2021,Jan,1676020(T),1565794(T),110226(T),6.6(T)
2021,Feb,1685867(T),1580245(T),105622(T),6.3(T)
2021,Mar,1684988(T),1580311(T),104677(T),6.2(T)
2021,Apr,1696909(T),1593364(T),103545(T),6.1(T)
2021,May,1708532(T),1609054(T),99478(T),5.8(T)
2021,Jun,1721584(T),1614511(T),107073(T),6.2(T)
2021,Jul,1724615(T),1624949(T),99666(T),5.8(T)
2021,Aug,1721215(T),1629545(T),91670(T),5.3(T)
2021,Sep,1727023(T),1644155(T),82868(T),4.8(T)
2021,Oct,1728741(T),1648267(T),80474(T),4.7(T)
2021,Nov,1732890(T),1662675(T),70215(T),4.1(T)
2021,Dec,1721788(T),1655838(T),65950(T),3.8(T)
2022,Jan,1729257(T),1658459(T),70798(T),4.1(T)
2022,Feb,1734734(T),1668304(T),66430(T),3.8(T)
2022,Mar,1730817(T),1674144(T),56673(T),3.3(T)
2022,Apr,1727848(T),1679498(T),48350(T),2.8(T)
2022,May,1735397(T),1688633(T),46764(T),2.7(T)
2022,Jun,1739585(T),1690043(T),49542(T),2.8(T)
